id,title,description,priority,risk_reduction_percent,cost_level,implementation_time,sms_pillar,regulatory_refs,shap_contribution,trigger_value,trigger_threshold,action_steps,kpis
CREW_FATIGUE_MODERATE_1,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,63.2,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_3,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,72.6,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_4,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,68.0,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_6,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,62.3,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_7,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,66.6,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_8,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,68.6,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_9,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,68.0,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
EXCESSIVE_DUTY_0,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_1,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,13.2,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_2,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,12.2,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_3,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_4,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_5,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,12.6,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_6,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_7,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_8,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_9,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
